😀	face-smiling/grinning-face
👩🏼‍❤️‍👩🏼	family/couple-with-heart-woman-woman-medium-light-skin-tone
👩🏼‍❤‍👩🏼	family/couple-with-heart-woman-woman-medium-light-skin-tone
👩🏼‍❤️‍👩🏽	family/couple-with-heart-woman-woman-medium-light-skin-tone-medium-skin-tone
👩🏼‍❤‍👩🏽	family/couple-with-heart-woman-woman-medium-light-skin-tone-medium-skin-tone
👩🏼‍❤️‍👩🏾	family/couple-with-heart-woman-woman-medium-light-skin-tone-medium-dark-skin-tone
👩🏼‍❤‍👩🏾	family/couple-with-heart-woman-woman-medium-light-skin-tone-medium-dark-skin-tone
👩🏼‍❤️‍👩🏿	family/couple-with-heart-woman-woman-medium-light-skin-tone-dark-skin-tone
👩🏼‍❤‍👩🏿	family/couple-with-heart-woman-woman-medium-light-skin-tone-dark-skin-tone
👩🏽‍❤️‍👩🏻	family/couple-with-heart-woman-woman-medium-skin-tone-light-skin-tone
👩🏽‍❤‍👩🏻	family/couple-with-heart-woman-woman-medium-skin-tone-light-skin-tone
👩🏽‍❤️‍👩🏼	family/couple-with-heart-woman-woman-medium-skin-tone-medium-light-skin-tone
👩🏽‍❤‍👩🏼	family/couple-with-heart-woman-woman-medium-skin-tone-medium-light-skin-tone
👩🏽‍❤️‍👩🏽	family/couple-with-heart-woman-woman-medium-skin-tone
👩🏽‍❤‍👩🏽	family/couple-with-heart-woman-woman-medium-skin-tone
👩🏽‍❤️‍👩🏾	family/couple-with-heart-woman-woman-medium-skin-tone-medium-dark-skin-tone
👩🏽‍❤‍👩🏾	family/couple-with-heart-woman-woman-medium-skin-tone-medium-dark-skin-tone
👩🏽‍❤️‍👩🏿	family/couple-with-heart-woman-woman-medium-skin-tone-dark-skin-tone
👩🏽‍❤‍👩🏿	family/couple-with-heart-woman-woman-medium-skin-tone-dark-skin-tone
👩🏾‍❤️‍👩🏻	family/couple-with-heart-woman-woman-medium-dark-skin-tone-light-skin-tone
👩🏾‍❤‍👩🏻	family/couple-with-heart-woman-woman-medium-dark-skin-tone-light-skin-tone
👩🏾‍❤️‍👩🏼	family/couple-with-heart-woman-woman-medium-dark-skin-tone-medium-light-skin-tone
👩🏾‍❤‍👩🏼	family/couple-with-heart-woman-woman-medium-dark-skin-tone-medium-light-skin-tone
👩🏾‍❤️‍👩🏽	family/couple-with-heart-woman-woman-medium-dark-skin-tone-medium-skin-tone
👩🏾‍❤‍👩🏽	family/couple-with-heart-woman-woman-medium-dark-skin-tone-medium-skin-tone
👩🏾‍❤️‍👩🏾	family/couple-with-heart-woman-woman-medium-dark-skin-tone
👩🏾‍❤‍👩🏾	family/couple-with-heart-woman-woman-medium-dark-skin-tone
👩🏾‍❤️‍👩🏿	family/couple-with-heart-woman-woman-medium-dark-skin-tone-dark-skin-tone
👩🏾‍❤‍👩🏿	family/couple-with-heart-woman-woman-medium-dark-skin-tone-dark-skin-tone
👩🏿‍❤️‍👩🏻	family/couple-with-heart-woman-woman-dark-skin-tone-light-skin-tone
👩🏿‍❤‍👩🏻	family/couple-with-heart-woman-woman-dark-skin-tone-light-skin-tone
👩🏿‍❤️‍👩🏼	family/couple-with-heart-woman-woman-dark-skin-tone-medium-light-skin-tone
👩🏿‍❤‍👩🏼	family/couple-with-heart-woman-woman-dark-skin-tone-medium-light-skin-tone
👩🏿‍❤️‍👩🏽	family/couple-with-heart-woman-woman-dark-skin-tone-medium-skin-tone
👩🏿‍❤‍👩🏽	family/couple-with-heart-woman-woman-dark-skin-tone-medium-skin-tone
👩🏿‍❤️‍👩🏾	family/couple-with-heart-woman-woman-dark-skin-tone-medium-dark-skin-tone
👩🏿‍❤‍👩🏾	family/couple-with-heart-woman-woman-dark-skin-tone-medium-dark-skin-tone
👩🏿‍❤️‍👩🏿	family/couple-with-heart-woman-woman-dark-skin-tone
👩🏿‍❤‍👩🏿	family/couple-with-heart-woman-woman-dark-skin-tone
👨‍👩‍👦	family/family-man-woman-boy
👨‍👩‍👧	family/family-man-woman-girl
👨‍👩‍👧‍👦	family/family-man-woman-girl-boy
👨‍👩‍👦‍👦	family/family-man-woman-boy-boy
👨‍👩‍👧‍👧	family/family-man-woman-girl-girl
👨‍👨‍👦	family/family-man-man-boy
👨‍👨‍👧	family/family-man-man-girl
👨‍👨‍👧‍👦	family/family-man-man-girl-boy
👨‍👨‍👦‍👦	family/family-man-man-boy-boy
👨‍👨‍👧‍👧	family/family-man-man-girl-girl
👩‍👩‍👦	family/family-woman-woman-boy
👩‍👩‍👧	family/family-woman-woman-girl
👩‍👩‍👧‍👦	family/family-woman-woman-girl-boy
👩‍👩‍👦‍👦	family/family-woman-woman-boy-boy
👩‍👩‍👧‍👧	family/family-woman-woman-girl-girl
👨‍👦	family/family-man-boy
👨‍👦‍👦	family/family-man-boy-boy
👨‍👧	family/family-man-girl
👨‍👧‍👦	family/family-man-girl-boy
👨‍👧‍👧	family/family-man-girl-girl
👩‍👦	family/family-woman-boy
👩‍👦‍👦	family/family-woman-boy-boy
👩‍👧	family/family-woman-girl
👩‍👧‍👦	family/family-woman-girl-boy
👩‍👧‍👧	family/family-woman-girl-girl
🗣️	person-symbol/speaking-head
🗣	person-symbol/speaking-head
👤	person-symbol/bust-in-silhouette
👥	person-symbol/busts-in-silhouette
🫂	person-symbol/people-hugging
👪	person-symbol/family
🧑‍🧑‍🧒	person-symbol/family-adult-adult-child
🧑‍🧑‍🧒‍🧒	person-symbol/family-adult-adult-child-child
🧑‍🧒	person-symbol/family-adult-child
🧑‍🧒‍🧒	person-symbol/family-adult-child-child
👣	person-symbol/footprints
🫆	person-symbol/fingerprint
🏻	skin-tone/light-skin-tone
🏼	skin-tone/medium-light-skin-tone
🏽	skin-tone/medium-skin-tone
🏾	skin-tone/medium-dark-skin-tone
🏿	skin-tone/dark-skin-tone
🦰	hair-style/red-hair
🦱	hair-style/curly-hair
🦳	hair-style/white-hair
🦲	hair-style/bald
🐵	animal-mammal/monkey-face
🐒	animal-mammal/monkey
🦍	animal-mammal/gorilla
🦧	animal-mammal/orangutan
🐶	animal-mammal/dog-face
🐕	animal-mammal/dog
🦮	animal-mammal/guide-dog
🐕‍🦺	animal-mammal/service-dog
🐩	animal-mammal/poodle
🐺	animal-mammal/wolf
🦊	animal-mammal/fox
🦝	animal-mammal/raccoon
🐱	animal-mammal/cat-face
🐈	animal-mammal/cat
🐈‍⬛	animal-mammal/black-cat
🦁	animal-mammal/lion
🐯	animal-mammal/tiger-face
🐅	animal-mammal/tiger
🐆	animal-mammal/leopard
🐴	animal-mammal/horse-face
🫎	animal-mammal/moose
🫏	animal-mammal/donkey
🐎	animal-mammal/horse
🦄	animal-mammal/unicorn
🦓	animal-mammal/zebra
🦌	animal-mammal/deer
🦬	animal-mammal/bison
🐮	animal-mammal/cow-face
🐂	animal-mammal/ox
🐃	animal-mammal/water-buffalo
🐄	animal-mammal/cow
🐷	animal-mammal/pig-face
🐖	animal-mammal/pig
🐗	animal-mammal/boar
🐽	animal-mammal/pig-nose
🐏	animal-mammal/ram
🐑	animal-mammal/ewe
🐐	animal-mammal/goat
🐪	animal-mammal/camel
🐫	animal-mammal/two-hump-camel
🦙	animal-mammal/llama
🦒	animal-mammal/giraffe
🐘	animal-mammal/elephant
🦣	animal-mammal/mammoth
🦏	animal-mammal/rhinoceros
🦛	animal-mammal/hippopotamus
🐭	animal-mammal/mouse-face
🐁	animal-mammal/mouse
🐀	animal-mammal/rat
🐹	animal-mammal/hamster
🐰	animal-mammal/rabbit-face
🐇	animal-mammal/rabbit
🐿️	animal-mammal/chipmunk
🐿	animal-mammal/chipmunk
🦫	animal-mammal/beaver
🦔	animal-mammal/hedgehog
🦇	animal-mammal/bat
🐻	animal-mammal/bear
🐻‍❄️	animal-mammal/polar-bear
🐻‍❄	animal-mammal/polar-bear
🐨	animal-mammal/koala
🐼	animal-mammal/panda
🦥	animal-mammal/sloth
🦦	animal-mammal/otter
🦨	animal-mammal/skunk
🦘	animal-mammal/kangaroo
🦡	animal-mammal/badger
🐾	animal-mammal/paw-prints
🦃	animal-bird/turkey
🐔	animal-bird/chicken
🐓	animal-bird/rooster
🐣	animal-bird/hatching-chick
🐤	animal-bird/baby-chick
🐥	animal-bird/front-facing-baby-chick
🐦	animal-bird/bird
🐧	animal-bird/penguin
🕊️	animal-bird/dove
🕊	animal-bird/dove
🦅	animal-bird/eagle
🦆	animal-bird/duck
🦢	animal-bird/swan
🦉	animal-bird/owl
🦤	animal-bird/dodo
🪶	animal-bird/feather
🦩	animal-bird/flamingo
🦚	animal-bird/peacock
🦜	animal-bird/parrot
🪽	animal-bird/wing
🐦‍⬛	animal-bird/black-bird
🪿	animal-bird/goose
🐦‍🔥	animal-bird/phoenix
🐸	animal-amphibian/frog
🐊	animal-reptile/crocodile
🐢	animal-reptile/turtle
🦎	animal-reptile/lizard
🐍	animal-reptile/snake
🐲	animal-reptile/dragon-face
🐉	animal-reptile/dragon
🦕	animal-reptile/sauropod
🦖	animal-reptile/T-Rex
🐳	animal-marine/spouting-whale
🐋	animal-marine/whale
🐬	animal-marine/dolphin
🦭	animal-marine/seal
🐟	animal-marine/fish
🐠	animal-marine/tropical-fish
🐡	animal-marine/blowfish
🦈	animal-marine/shark
🐙	animal-marine/octopus
🐚	animal-marine/spiral-shell
🪸	animal-marine/coral
🪼	animal-marine/jellyfish
🐌	animal-bug/snail
🦋	animal-bug/butterfly
🐛	animal-bug/bug
🐜	animal-bug/ant
🐝	animal-bug/honeybee
🪲	animal-bug/beetle
🐞	animal-bug/lady-beetle
🦗	animal-bug/cricket
🪳	animal-bug/cockroach
🕷️	animal-bug/spider
🕷	animal-bug/spider
🕸️	animal-bug/spider-web
🕸	animal-bug/spider-web
🦂	animal-bug/scorpion
🦟	animal-bug/mosquito
🪰	animal-bug/fly
🪱	animal-bug/worm
🦠	animal-bug/microbe
💐	plant-flower/bouquet
🌸	plant-flower/cherry-blossom
💮	plant-flower/white-flower
🪷	plant-flower/lotus
🏵️	plant-flower/rosette
🏵	plant-flower/rosette
🌹	plant-flower/rose
🥀	plant-flower/wilted-flower
🌺	plant-flower/hibiscus
🌻	plant-flower/sunflower
🌼	plant-flower/blossom
🌷	plant-flower/tulip
🪻	plant-flower/hyacinth
🌱	plant-other/seedling
🪴	plant-other/potted-plant
🌲	plant-other/evergreen-tree
🌳	plant-other/deciduous-tree
🌴	plant-other/palm-tree
🌵	plant-other/cactus
🌾	plant-other/sheaf-of-rice
🌿	plant-other/herb
☘️	plant-other/shamrock
☘	plant-other/shamrock
🍀	plant-other/four-leaf-clover
🍁	plant-other/maple-leaf
🍂	plant-other/fallen-leaf
🍃	plant-other/leaf-fluttering-in-wind
🪹	plant-other/empty-nest
🪺	plant-other/nest-with-eggs
🍄	plant-other/mushroom
🪾	plant-other/leafless-tree
🍇	food-fruit/grapes
🍈	food-fruit/melon
🍉	food-fruit/watermelon
🍊	food-fruit/tangerine
🍋	food-fruit/lemon
🍋‍🟩	food-fruit/lime
🍌	food-fruit/banana
🍍	food-fruit/pineapple
🥭	food-fruit/mango
🍎	food-fruit/red-apple
🍏	food-fruit/green-apple
🍐	food-fruit/pear
🍑	food-fruit/peach
🍒	food-fruit/cherries
🍓	food-fruit/strawberry
🫐	food-fruit/blueberries
🥝	food-fruit/kiwi-fruit
🍅	food-fruit/tomato
🫒	food-fruit/olive
🥥	food-fruit/coconut
🥑	food-vegetable/avocado
🍆	food-vegetable/eggplant
🥔	food-vegetable/potato
🥕	food-vegetable/carrot
🌽	food-vegetable/ear-of-corn
🌶️	food-vegetable/hot-pepper
🌶	food-vegetable/hot-pepper
🫑	food-vegetable/bell-pepper
🥒	food-vegetable/cucumber
🥬	food-vegetable/leafy-green
🥦	food-vegetable/broccoli
🧄	food-vegetable/garlic
🧅	food-vegetable/onion
🥜	food-vegetable/peanuts
🫘	food-vegetable/beans
🌰	food-vegetable/chestnut
🫚	food-vegetable/ginger-root
🫛	food-vegetable/pea-pod
🍄‍🟫	food-vegetable/brown-mushroom
🫜	food-vegetable/root-vegetable
🍞	food-prepared/bread
🥐	food-prepared/croissant
🥖	food-prepared/baguette-bread
🫓	food-prepared/flatbread
🥨	food-prepared/pretzel
🥯	food-prepared/bagel
🥞	food-prepared/pancakes
🧇	food-prepared/waffle
🧀	food-prepared/cheese-wedge
🍖	food-prepared/meat-on-bone
🍗	food-prepared/poultry-leg
🥩	food-prepared/cut-of-meat
🥓	food-prepared/bacon
🍔	food-prepared/hamburger
🍟	food-prepared/french-fries
🍕	food-prepared/pizza
🌭	food-prepared/hot-dog
🥪	food-prepared/sandwich
🌮	food-prepared/taco
🌯	food-prepared/burrito
🫔	food-prepared/tamale
🥙	food-prepared/stuffed-flatbread
🧆	food-prepared/falafel
🥚	food-prepared/egg
🍳	food-prepared/cooking
🥘	food-prepared/shallow-pan-of-food
🍲	food-prepared/pot-of-food
🫕	food-prepared/fondue
🥣	food-prepared/bowl-with-spoon
🥗	food-prepared/green-salad
🍿	food-prepared/popcorn
🧈	food-prepared/butter
🧂	food-prepared/salt
🥫	food-prepared/canned-food
🍱	food-asian/bento-box
🍘	food-asian/rice-cracker
🍙	food-asian/rice-ball
🍚	food-asian/cooked-rice
🍛	food-asian/curry-rice
🍜	food-asian/steaming-bowl
🍝	food-asian/spaghetti
🍠	food-asian/roasted-sweet-potato
🍢	food-asian/oden
🍣	food-asian/sushi
🍤	food-asian/fried-shrimp
🍥	food-asian/fish-cake-with-swirl
🥮	food-asian/moon-cake
🍡	food-asian/dango
🥟	food-asian/dumpling
🥠	food-asian/fortune-cookie
🥡	food-asian/takeout-box
🦀	food-marine/crab
🦞	food-marine/lobster
🦐	food-marine/shrimp
🦑	food-marine/squid
🦪	food-marine/oyster
🍦	food-sweet/soft-ice-cream
🍧	food-sweet/shaved-ice
🍨	food-sweet/ice-cream
🍩	food-sweet/doughnut
🍪	food-sweet/cookie
🎂	food-sweet/birthday-cake
🍰	food-sweet/shortcake
🧁	food-sweet/cupcake
🥧	food-sweet/pie
🍫	food-sweet/chocolate-bar
🍬	food-sweet/candy
🍭	food-sweet/lollipop
🍮	food-sweet/custard
🍯	food-sweet/honey-pot
🍼	drink/baby-bottle
🥛	drink/glass-of-milk
☕	drink/hot-beverage
🫖	drink/teapot
🍵	drink/teacup-without-handle
🍶	drink/sake
🍾	drink/bottle-with-popping-cork
🍷	drink/wine-glass
🍸	drink/cocktail-glass
🍹	drink/tropical-drink
🍺	drink/beer-mug
🍻	drink/clinking-beer-mugs
🥂	drink/clinking-glasses
🥃	drink/tumbler-glass
🫗	drink/pouring-liquid
🥤	drink/cup-with-straw
🧋	drink/bubble-tea
🧃	drink/beverage-box
🧉	drink/mate
🧊	drink/ice
🥢	dishware/chopsticks
🍽️	dishware/fork-and-knife-with-plate
🍽	dishware/fork-and-knife-with-plate
🍴	dishware/fork-and-knife
🥄	dishware/spoon
🔪	dishware/kitchen-knife
🫙	dishware/jar
🏺	dishware/amphora
🌍	place-map/globe-showing-Europe-Africa
🌎	place-map/globe-showing-Americas
🌏	place-map/globe-showing-Asia-Australia
🌐	place-map/globe-with-meridians
🗺️	place-map/world-map
🗺	place-map/world-map
🗾	place-map/map-of-Japan
🧭	place-map/compass
🏔️	place-geographic/snow-capped-mountain
🏔	place-geographic/snow-capped-mountain
⛰️	place-geographic/mountain
⛰	place-geographic/mountain
🌋	place-geographic/volcano
🗻	place-geographic/mount-fuji
🏕️	place-geographic/camping
🏕	place-geographic/camping
🏖️	place-geographic/beach-with-umbrella
🏖	place-geographic/beach-with-umbrella
🏜️	place-geographic/desert
🏜	place-geographic/desert
🏝️	place-geographic/desert-island
🏝	place-geographic/desert-island
🏞️	place-geographic/national-park
🏞	place-geographic/national-park
🏟️	place-building/stadium
🏟	place-building/stadium
🏛️	place-building/classical-building
🏛	place-building/classical-building
🏗️	place-building/building-construction
🏗	place-building/building-construction
🧱	place-building/brick
🪨	place-building/rock
🪵	place-building/wood
🛖	place-building/hut
🏘️	place-building/houses
🏘	place-building/houses
🏚️	place-building/derelict-house
🏚	place-building/derelict-house
🏠	place-building/house
🏡	place-building/house-with-garden
🏢	place-building/office-building
🏣	place-building/Japanese-post-office
🏤	place-building/post-office
🏥	place-building/hospital
🏦	place-building/bank
🏨	place-building/hotel
🏩	place-building/love-hotel
🏪	place-building/convenience-store
🏫	place-building/school
🏬	place-building/department-store
🏭	place-building/factory
🏯	place-building/Japanese-castle
🏰	place-building/castle
💒	place-building/wedding
🗼	place-building/Tokyo-tower
🗽	place-building/Statue-of-Liberty
⛪	place-religious/church
🕌	place-religious/mosque
🛕	place-religious/hindu-temple
🕍	place-religious/synagogue
⛩️	place-religious/shinto-shrine
⛩	place-religious/shinto-shrine
🕋	place-religious/kaaba
⛲	place-other/fountain
⛺	place-other/tent
🌁	place-other/foggy
🌃	place-other/night-with-stars
🏙️	place-other/cityscape
🏙	place-other/cityscape
🌄	place-other/sunrise-over-mountains
🌅	place-other/sunrise
🌆	place-other/cityscape-at-dusk
🌇	place-other/sunset
🌉	place-other/bridge-at-night
♨️	place-other/hot-springs
♨	place-other/hot-springs
🎠	place-other/carousel-horse
🛝	place-other/playground-slide
🎡	place-other/ferris-wheel
🎢	place-other/roller-coaster
💈	place-other/barber-pole
🎪	place-other/circus-tent
🚂	transport-ground/locomotive
🚃	transport-ground/railway-car
🚄	transport-ground/high-speed-train
🚅	transport-ground/bullet-train
🚆	transport-ground/train
🚇	transport-ground/metro
🚈	transport-ground/light-rail
🚉	transport-ground/station
🚊	transport-ground/tram
🚝	transport-ground/monorail
🚞	transport-ground/mountain-railway
🚋	transport-ground/tram-car
🚌	transport-ground/bus
🚍	transport-ground/oncoming-bus
🚎	transport-ground/trolleybus
🚐	transport-ground/minibus
🚑	transport-ground/ambulance
🚒	transport-ground/fire-engine
🚓	transport-ground/police-car
🚔	transport-ground/oncoming-police-car
🚕	transport-ground/taxi
🚖	transport-ground/oncoming-taxi
🚗	transport-ground/automobile
🚘	transport-ground/oncoming-automobile
🚙	transport-ground/sport-utility-vehicle
🛻	transport-ground/pickup-truck
🚚	transport-ground/delivery-truck
🚛	transport-ground/articulated-lorry
🚜	transport-ground/tractor
🏎️	transport-ground/racing-car
🏎	transport-ground/racing-car
🏍️	transport-ground/motorcycle
🏍	transport-ground/motorcycle
🛵	transport-ground/motor-scooter
🦽	transport-ground/manual-wheelchair
🦼	transport-ground/motorized-wheelchair
🛺	transport-ground/auto-rickshaw
🚲	transport-ground/bicycle
🛴	transport-ground/kick-scooter
🛹	transport-ground/skateboard
🛼	transport-ground/roller-skate
🚏	transport-ground/bus-stop
🛣️	transport-ground/motorway
🛣	transport-ground/motorway
🛤️	transport-ground/railway-track
🛤	transport-ground/railway-track
🛢️	transport-ground/oil-drum
🛢	transport-ground/oil-drum
⛽	transport-ground/fuel-pump
🛞	transport-ground/wheel
🚨	transport-ground/police-car-light
🚥	transport-ground/horizontal-traffic-light
🚦	transport-ground/vertical-traffic-light
🛑	transport-ground/stop-sign
🚧	transport-ground/construction
⚓	transport-water/anchor
🛟	transport-water/ring-buoy
⛵	transport-water/sailboat
🛶	transport-water/canoe
🚤	transport-water/speedboat
🛳️	transport-water/passenger-ship
🛳	transport-water/passenger-ship
⛴️	transport-water/ferry
⛴	transport-water/ferry
🛥️	transport-water/motor-boat
🛥	transport-water/motor-boat
🚢	transport-water/ship
✈️	transport-air/airplane
✈	transport-air/airplane
🛩️	transport-air/small-airplane
🛩	transport-air/small-airplane
🛫	transport-air/airplane-departure
🛬	transport-air/airplane-arrival
🪂	transport-air/parachute
💺	transport-air/seat
🚁	transport-air/helicopter
🚟	transport-air/suspension-railway
🚠	transport-air/mountain-cableway
🚡	transport-air/aerial-tramway
🛰️	transport-air/satellite
🛰	transport-air/satellite
🚀	transport-air/rocket
🛸	transport-air/flying-saucer
🛎️	hotel/bellhop-bell
🛎	hotel/bellhop-bell
🧳	hotel/luggage
⌛	time/hourglass-done
⏳	time/hourglass-not-done
⌚	time/watch
⏰	time/alarm-clock
⏱️	time/stopwatch
⏱	time/stopwatch
⏲️	time/timer-clock
⏲	time/timer-clock
🕰️	time/mantelpiece-clock
🕰	time/mantelpiece-clock
🕛	time/twelve-o’clock
🕧	time/twelve-thirty
🕐	time/one-o’clock
🕜	time/one-thirty
🕑	time/two-o’clock
🕝	time/two-thirty
🕒	time/three-o’clock
🕞	time/three-thirty
🕓	time/four-o’clock
🕟	time/four-thirty
🕔	time/five-o’clock
🕠	time/five-thirty
🕕	time/six-o’clock
🕡	time/six-thirty
🕖	time/seven-o’clock
🕢	time/seven-thirty
🕗	time/eight-o’clock
🕣	time/eight-thirty
🕘	time/nine-o’clock
🕤	time/nine-thirty
🕙	time/ten-o’clock
🕥	time/ten-thirty
🕚	time/eleven-o’clock
🕦	time/eleven-thirty
🌑	sky-&-weather/new-moon
🌒	sky-&-weather/waxing-crescent-moon
🌓	sky-&-weather/first-quarter-moon
🌔	sky-&-weather/waxing-gibbous-moon
🌕	sky-&-weather/full-moon
🌖	sky-&-weather/waning-gibbous-moon
🌗	sky-&-weather/last-quarter-moon
🌘	sky-&-weather/waning-crescent-moon
🌙	sky-&-weather/crescent-moon
🌚	sky-&-weather/new-moon-face
🌛	sky-&-weather/first-quarter-moon-face
🌜	sky-&-weather/last-quarter-moon-face
🌡️	sky-&-weather/thermometer
🌡	sky-&-weather/thermometer
☀️	sky-&-weather/sun
☀	sky-&-weather/sun
🌝	sky-&-weather/full-moon-face
🌞	sky-&-weather/sun-with-face
🪐	sky-&-weather/ringed-planet
⭐	sky-&-weather/star
🌟	sky-&-weather/glowing-star
🌠	sky-&-weather/shooting-star
🌌	sky-&-weather/milky-way
☁️	sky-&-weather/cloud
☁	sky-&-weather/cloud
⛅	sky-&-weather/sun-behind-cloud
⛈️	sky-&-weather/cloud-with-lightning-and-rain
⛈	sky-&-weather/cloud-with-lightning-and-rain
🌤️	sky-&-weather/sun-behind-small-cloud
🌤	sky-&-weather/sun-behind-small-cloud
🌥️	sky-&-weather/sun-behind-large-cloud
🌥	sky-&-weather/sun-behind-large-cloud
🌦️	sky-&-weather/sun-behind-rain-cloud
🌦	sky-&-weather/sun-behind-rain-cloud
🌧️	sky-&-weather/cloud-with-rain
🌧	sky-&-weather/cloud-with-rain
🌨️	sky-&-weather/cloud-with-snow
🌨	sky-&-weather/cloud-with-snow
🌩️	sky-&-weather/cloud-with-lightning
🌩	sky-&-weather/cloud-with-lightning
🌪️	sky-&-weather/tornado
🌪	sky-&-weather/tornado
🌫️	sky-&-weather/fog
🌫	sky-&-weather/fog
🌬️	sky-&-weather/wind-face
🌬	sky-&-weather/wind-face
🌀	sky-&-weather/cyclone
🌈	sky-&-weather/rainbow
🌂	sky-&-weather/closed-umbrella
☂️	sky-&-weather/umbrella
☂	sky-&-weather/umbrella
☔	sky-&-weather/umbrella-with-rain-drops
⛱️	sky-&-weather/umbrella-on-ground
⛱	sky-&-weather/umbrella-on-ground
⚡	sky-&-weather/high-voltage
❄️	sky-&-weather/snowflake
❄	sky-&-weather/snowflake
☃️	sky-&-weather/snowman
☃	sky-&-weather/snowman
⛄	sky-&-weather/snowman-without-snow
☄️	sky-&-weather/comet
☄	sky-&-weather/comet
🔥	sky-&-weather/fire
💧	sky-&-weather/droplet
🌊	sky-&-weather/water-wave
🎃	event/jack-o-lantern
🎄	event/Christmas-tree
🎆	event/fireworks
🎇	event/sparkler
🧨	event/firecracker
✨	event/sparkles
🎈	event/balloon
🎉	event/party-popper
🎊	event/confetti-ball
🎋	event/tanabata-tree
🎍	event/pine-decoration
🎎	event/Japanese-dolls
🎏	event/carp-streamer
🎐	event/wind-chime
🎑	event/moon-viewing-ceremony
🧧	event/red-envelope
🎀	event/ribbon
🎁	event/wrapped-gift
🎗️	event/reminder-ribbon
🎗	event/reminder-ribbon
🎟️	event/admission-tickets
🎟	event/admission-tickets
🎫	event/ticket
🎖️	award-medal/military-medal
🎖	award-medal/military-medal
🏆	award-medal/trophy
🏅	award-medal/sports-medal
🥇	award-medal/1st-place-medal
🥈	award-medal/2nd-place-medal
🥉	award-medal/3rd-place-medal
⚽	sport/soccer-ball
⚾	sport/baseball
🥎	sport/softball
🏀	sport/basketball
🏐	sport/volleyball
🏈	sport/american-football
🏉	sport/rugby-football
🎾	sport/tennis
🥏	sport/flying-disc
🎳	sport/bowling
🏏	sport/cricket-game
🏑	sport/field-hockey
🏒	sport/ice-hockey
🥍	sport/lacrosse
🏓	sport/ping-pong
🏸	sport/badminton
🥊	sport/boxing-glove
🥋	sport/martial-arts-uniform
🥅	sport/goal-net
⛳	sport/flag-in-hole
⛸️	sport/ice-skate
⛸	sport/ice-skate
🎣	sport/fishing-pole
🤿	sport/diving-mask
🎽	sport/running-shirt
🎿	sport/skis
🛷	sport/sled
🥌	sport/curling-stone
🎯	game/bullseye
🪀	game/yo-yo
🪁	game/kite
🔫	game/water-pistol
🎱	game/pool-8-ball
🔮	game/crystal-ball
🪄	game/magic-wand
🎮	game/video-game
🕹️	game/joystick
🕹	game/joystick
🎰	game/slot-machine
🎲	game/game-die
🧩	game/puzzle-piece
🧸	game/teddy-bear
🪅	game/piñata
🪩	game/mirror-ball
🪆	game/nesting-dolls
♠️	game/spade-suit
♠	game/spade-suit
♥️	game/heart-suit
♥	game/heart-suit
♦️	game/diamond-suit
♦	game/diamond-suit
♣️	game/club-suit
♣	game/club-suit
♟️	game/chess-pawn
♟	game/chess-pawn
🃏	game/joker
🀄	game/mahjong-red-dragon
🎴	game/flower-playing-cards
🎭	arts-&-crafts/performing-arts
🖼️	arts-&-crafts/framed-picture
🖼	arts-&-crafts/framed-picture
🎨	arts-&-crafts/artist-palette
🧵	arts-&-crafts/thread
🪡	arts-&-crafts/sewing-needle
🧶	arts-&-crafts/yarn
🪢	arts-&-crafts/knot
👓	clothing/glasses
🕶️	clothing/sunglasses
🕶	clothing/sunglasses
🥽	clothing/goggles
🥼	clothing/lab-coat
🦺	clothing/safety-vest
👔	clothing/necktie
👕	clothing/t-shirt
👖	clothing/jeans
🧣	clothing/scarf
🧤	clothing/gloves
🧥	clothing/coat
🧦	clothing/socks
👗	clothing/dress
👘	clothing/kimono
🥻	clothing/sari
🩱	clothing/one-piece-swimsuit
🩲	clothing/briefs
🩳	clothing/shorts
👙	clothing/bikini
👚	clothing/woman’s-clothes
🪭	clothing/folding-hand-fan
👛	clothing/purse
👜	clothing/handbag
👝	clothing/clutch-bag
🛍️	clothing/shopping-bags
🛍	clothing/shopping-bags
🎒	clothing/backpack
🩴	clothing/thong-sandal
👞	clothing/man’s-shoe
👟	clothing/running-shoe
🥾	clothing/hiking-boot
🥿	clothing/flat-shoe
👠	clothing/high-heeled-shoe
👡	clothing/woman’s-sandal
🩰	clothing/ballet-shoes
👢	clothing/woman’s-boot
🪮	clothing/hair-pick
👑	clothing/crown
👒	clothing/woman’s-hat
🎩	clothing/top-hat
🎓	clothing/graduation-cap
🧢	clothing/billed-cap
🪖	clothing/military-helmet
⛑️	clothing/rescue-worker’s-helmet
⛑	clothing/rescue-worker’s-helmet
📿	clothing/prayer-beads
💄	clothing/lipstick
💍	clothing/ring
💎	clothing/gem-stone
🔇	sound/muted-speaker
🔈	sound/speaker-low-volume
🔉	sound/speaker-medium-volume
🔊	sound/speaker-high-volume
📢	sound/loudspeaker
📣	sound/megaphone
📯	sound/postal-horn
🔔	sound/bell
🔕	sound/bell-with-slash
🎼	music/musical-score
🎵	music/musical-note
🎶	music/musical-notes
🎙️	music/studio-microphone
🎙	music/studio-microphone
🎚️	music/level-slider
🎚	music/level-slider
🎛️	music/control-knobs
🎛	music/control-knobs
🎤	music/microphone
🎧	music/headphone
📻	music/radio
🎷	musical-instrument/saxophone
🪗	musical-instrument/accordion
